,0,1,2,3
139,128.0,64.0,64.0,1.0
140,128.0,64.0,64.0,0.5
141,128.0,64.0,64.0,0.25
142,128.0,64.0,64.0,0.0
143,128.0,64.0,32.0,128.0
144,128.0,64.0,32.0,64.0
145,128.0,64.0,32.0,32.0
146,128.0,64.0,32.0,16.0
147,128.0,64.0,32.0,8.0
148,128.0,64.0,32.0,4.0
149,128.0,64.0,32.0,2.0
150,128.0,64.0,32.0,1.0
151,128.0,64.0,32.0,0.5
152,128.0,64.0,32.0,0.25
153,128.0,64.0,32.0,0.0
154,128.0,64.0,16.0,128.0
155,128.0,64.0,16.0,64.0
156,128.0,64.0,16.0,32.0
157,128.0,64.0,16.0,16.0
158,128.0,64.0,16.0,8.0
159,128.0,64.0,16.0,4.0
160,128.0,64.0,16.0,2.0
161,128.0,64.0,16.0,1.0
162,128.0,64.0,16.0,0.5
163,128.0,64.0,16.0,0.25
164,128.0,64.0,16.0,0.0
165,128.0,64.0,8.0,128.0
166,128.0,64.0,8.0,64.0
167,128.0,64.0,8.0,32.0
168,128.0,64.0,8.0,16.0
169,128.0,64.0,8.0,8.0
171,128.0,64.0,8.0,2.0
172,128.0,64.0,8.0,1.0
173,128.0,64.0,8.0,0.5
174,128.0,64.0,8.0,0.25
175,128.0,64.0,8.0,0.0
176,128.0,64.0,4.0,128.0
177,128.0,64.0,4.0,64.0
178,128.0,64.0,4.0,32.0
179,128.0,64.0,4.0,16.0
180,128.0,64.0,4.0,8.0
181,128.0,64.0,4.0,4.0
182,128.0,64.0,4.0,2.0
183,128.0,64.0,4.0,1.0
184,128.0,64.0,4.0,0.5
186,128.0,64.0,4.0,0.0
187,128.0,64.0,2.0,128.0
188,128.0,64.0,2.0,64.0
189,128.0,64.0,2.0,32.0
190,128.0,64.0,2.0,16.0
191,128.0,64.0,2.0,8.0
192,128.0,64.0,2.0,4.0
193,128.0,64.0,2.0,2.0
194,128.0,64.0,2.0,1.0
195,128.0,64.0,2.0,0.5
196,128.0,64.0,2.0,0.25
197,128.0,64.0,2.0,0.0
198,128.0,64.0,1.0,128.0
199,128.0,64.0,1.0,64.0
200,128.0,64.0,1.0,32.0
201,128.0,64.0,1.0,16.0
202,128.0,64.0,1.0,8.0
203,128.0,64.0,1.0,4.0
204,128.0,64.0,1.0,2.0
205,128.0,64.0,1.0,1.0
206,128.0,64.0,1.0,0.5
207,128.0,64.0,1.0,0.25
208,128.0,64.0,1.0,0.0
209,128.0,64.0,0.5,128.0
210,128.0,64.0,0.5,64.0
211,128.0,64.0,0.5,32.0
212,128.0,64.0,0.5,16.0
213,128.0,64.0,0.5,8.0
214,128.0,64.0,0.5,4.0
215,128.0,64.0,0.5,2.0
216,128.0,64.0,0.5,1.0
217,128.0,64.0,0.5,0.5
218,128.0,64.0,0.5,0.25
219,128.0,64.0,0.5,0.0
220,128.0,64.0,0.25,128.0
221,128.0,64.0,0.25,64.0
222,128.0,64.0,0.25,32.0
223,128.0,64.0,0.25,16.0
224,128.0,64.0,0.25,8.0
225,128.0,64.0,0.25,4.0
226,128.0,64.0,0.25,2.0
227,128.0,64.0,0.25,1.0
228,128.0,64.0,0.25,0.5
229,128.0,64.0,0.25,0.25
230,128.0,64.0,0.25,0.0
231,128.0,64.0,0.0,128.0
232,128.0,64.0,0.0,64.0
233,128.0,64.0,0.0,32.0
234,128.0,64.0,0.0,16.0
235,128.0,64.0,0.0,8.0
236,128.0,64.0,0.0,4.0
237,128.0,64.0,0.0,2.0
238,128.0,64.0,0.0,1.0
239,128.0,64.0,0.0,0.5
240,128.0,64.0,0.0,0.25
241,128.0,64.0,0.0,0.0
242,128.0,32.0,128.0,128.0
243,128.0,32.0,128.0,64.0
244,128.0,32.0,128.0,32.0
245,128.0,32.0,128.0,16.0
246,128.0,32.0,128.0,8.0
247,128.0,32.0,128.0,4.0
248,128.0,32.0,128.0,2.0
249,128.0,32.0,128.0,1.0
250,128.0,32.0,128.0,0.5
251,128.0,32.0,128.0,0.25
252,128.0,32.0,128.0,0.0
253,128.0,32.0,64.0,128.0
254,128.0,32.0,64.0,64.0
255,128.0,32.0,64.0,32.0
256,128.0,32.0,64.0,16.0
257,128.0,32.0,64.0,8.0
258,128.0,32.0,64.0,4.0
259,128.0,32.0,64.0,2.0
260,128.0,32.0,64.0,1.0
261,128.0,32.0,64.0,0.5
262,128.0,32.0,64.0,0.25
263,128.0,32.0,64.0,0.0
264,128.0,32.0,32.0,128.0
265,128.0,32.0,32.0,64.0
266,128.0,32.0,32.0,32.0
267,128.0,32.0,32.0,16.0
268,128.0,32.0,32.0,8.0
269,128.0,32.0,32.0,4.0
270,128.0,32.0,32.0,2.0
271,128.0,32.0,32.0,1.0
272,128.0,32.0,32.0,0.5
273,128.0,32.0,32.0,0.25
274,128.0,32.0,32.0,0.0
275,128.0,32.0,16.0,128.0
276,128.0,32.0,16.0,64.0
277,128.0,32.0,16.0,32.0
278,128.0,32.0,16.0,16.0
279,128.0,32.0,16.0,8.0
280,128.0,32.0,16.0,4.0
281,128.0,32.0,16.0,2.0
282,128.0,32.0,16.0,1.0
283,128.0,32.0,16.0,0.5
284,128.0,32.0,16.0,0.25
285,128.0,32.0,16.0,0.0
286,128.0,32.0,8.0,128.0
287,128.0,32.0,8.0,64.0
288,128.0,32.0,8.0,32.0
289,128.0,32.0,8.0,16.0
290,128.0,32.0,8.0,8.0
291,128.0,32.0,8.0,4.0
292,128.0,32.0,8.0,2.0
293,128.0,32.0,8.0,1.0
294,128.0,32.0,8.0,0.5
295,128.0,32.0,8.0,0.25
296,128.0,32.0,8.0,0.0
297,128.0,32.0,4.0,128.0
298,128.0,32.0,4.0,64.0
299,128.0,32.0,4.0,32.0
300,128.0,32.0,4.0,16.0
301,128.0,32.0,4.0,8.0
